property_type,sector,builtup,bedRoom,bathroom,balcony,agePossession,furnish_type,servant_room,store_room,luxury_score_category,floorNum_category,price
0.0,139.0,605.0,2,2,2.0,1.0,0.0,0,0,2.0,2.0,29.99
0.0,58.0,1068.0,2,2,3.0,0.0,2.0,0,0,2.0,1.0,78.0
0.0,67.0,1466.0,3,3,2.0,2.0,1.0,1,0,1.0,1.0,200.0
0.0,139.0,1344.0,2,2,4.0,1.0,0.0,0,0,2.0,0.0,74.0
0.0,12.0,2224.0,3,3,4.0,4.0,0.0,1,0,1.0,2.0,320.0
0.0,120.0,1774.0,4,4,4.0,3.0,0.0,1,0,2.0,1.0,130.0
0.0,50.0,778.0,2,2,2.0,3.0,0.0,0,0,1.0,1.0,25.0
0.0,139.0,1210.0,3,2,4.0,3.0,0.0,0,0,1.0,1.0,95.0
0.0,131.0,3030.0,4,4,4.0,3.0,2.0,1,0,2.0,2.0,199.0
0.0,12.0,1539.0,2,2,2.0,1.0,0.0,0,0,2.0,2.0,105.0
0.0,124.0,2032.0,3,3,4.0,4.0,0.0,0,0,2.0,0.0,183.0
0.0,121.0,2333.0,3,3,4.0,3.0,1.0,1,0,2.0,0.0,225.0
0.0,98.0,1650.07,3,3,4.0,3.0,2.0,1,0,1.0,2.0,280.0
0.0,45.0,1222.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,160.0
0.0,115.0,1700.0,2,2,3.0,1.0,1.0,0,0,1.0,2.0,83.0
0.0,139.0,1244.0,3,2,2.0,1.0,0.0,0,0,1.0,1.0,83.0
0.0,16.0,1389.0,2,3,2.0,1.0,0.0,0,0,1.0,2.0,80.0
0.0,2.0,2945.0,4,4,4.0,0.0,2.0,0,0,1.0,2.0,125.0
0.0,123.0,500.0,1,1,1.0,1.0,0.0,0,0,1.0,0.0,30.0
0.0,54.0,1421.0,3,4,1.0,3.0,0.0,1,0,1.0,1.0,155.0
0.0,108.0,1084.0,2,2,2.0,3.0,0.0,0,0,2.0,2.0,79.0
0.0,139.0,1184.0,2,2,3.0,4.0,0.0,0,0,2.0,0.0,101.0
0.0,133.0,1717.0,4,5,4.0,0.0,0.0,1,0,2.0,2.0,95.0
0.0,113.0,1126.0,2,2,2.0,3.0,2.0,0,0,2.0,1.0,99.0
0.0,59.0,1561.0,3,3,4.0,4.0,0.0,0,0,2.0,2.0,110.0
0.0,101.0,1991.0,4,4,3.0,1.0,0.0,0,0,2.0,2.0,190.0
0.0,58.0,1697.0,3,3,4.0,4.0,0.0,0,0,2.0,2.0,100.0
0.0,88.0,2036.0,3,3,3.0,0.0,0.0,0,0,1.0,2.0,250.0
0.0,48.0,956.0,2,2,2.0,4.0,0.0,0,0,1.0,0.0,110.0
0.0,135.0,507.0,2,2,2.0,3.0,0.0,0,0,1.0,0.0,29.0
0.0,135.0,990.0,2,2,3.0,1.0,0.0,0,0,1.0,0.0,55.0
0.0,133.0,1240.0,3,2,3.0,3.0,0.0,0,0,1.0,2.0,65.0
0.0,139.0,590.0,2,2,2.0,1.0,2.0,0,0,2.0,2.0,50.0
0.0,137.0,577.0,2,2,1.0,1.0,0.0,0,0,1.0,1.0,31.75
0.0,7.0,1613.0,2,3,3.0,3.0,0.0,1,0,1.0,2.0,93.0
0.0,128.0,1581.0,3,3,2.0,1.0,0.0,0,0,2.0,1.0,120.0
0.0,139.0,711.0,2,2,2.0,3.0,0.0,0,0,1.0,2.0,30.0
0.0,139.0,913.0,2,2,3.0,1.0,0.0,0,0,2.0,2.0,56.0
0.0,75.0,2159.14,3,4,4.0,0.0,1.0,0,0,2.0,2.0,270.0
0.0,131.0,1765.0,3,4,3.0,1.0,0.0,1,0,2.0,2.0,100.0
0.0,51.0,1300.0,3,2,2.0,2.0,0.0,0,0,1.0,1.0,145.0
0.0,128.0,1423.0,3,3,0.0,1.0,0.0,0,0,2.0,2.0,125.0
0.0,99.0,3322.0,5,5,4.0,1.0,0.0,1,0,2.0,0.0,450.0
