property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,satya the hermitage,sector 103 ,93.0,6404.0,1452.22,Carpet area: 1452 (134.9 sq.m.),,,1452.0,2,3,3,3.0,East,Relatively New,0.0,1,0,0,0,0,42.0
flat,smart world gems,sector 89 ,120.0,8432.0,1423.15,Carpet area: 1423 (132.2 sq.m.),,,1423.0,3,3,2,2.0,North-East,New Property,0.0,0,0,0,0,0,111.0
flat,gls arawali homes,sohna road,30.0,4687.0,640.07,Carpet area: 640 (59.46 sq.m.),,,640.0,2,2,2,4.0,,Relatively New,0.0,0,0,0,0,0,0.0
flat,signature global park,sohna road,56.0,6812.0,822.08,Carpet area: 822 (76.37 sq.m.),,,822.0,2,2,3,3.0,South,New Property,0.0,0,0,0,0,0,95.0
flat,bestech park view city,sector 49 ,270.0,12505.0,2159.14,Super Built up area 2159(200.58 sq.m.),2159.0,,,3,4,3+,6.0,,Moderately Old,1.0,0,0,0,0,0,75.0
flat,shree vardhman flora,sector 90 ,100.0,5128.0,1950.08,Super Built up area 1950(181.16 sq.m.),1950.0,,,3,4,3,8.0,North-East,New Property,0.0,1,0,0,0,0,61.0
flat,afnhb jalvayu vihar,sector 30 ,145.0,11153.0,1300.1,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),,1300.0,1090.0,3,2,2,2.0,North,Old Property,0.0,0,0,0,0,0,15.0
flat,m3m soulitude,sector 89 ,125.0,8784.0,1423.04,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),,1423.0,1190.0,3,3,0,4.0,,Undefined,0.0,0,0,0,0,0,105.0
flat,emaar mgf palm terraces,sector 66 ,450.0,10599.0,4245.68,Super Built up area 3670(340.95 sq.m.),3670.0,,,5,5,3+,11.0,,New Property,0.0,1,0,0,0,0,58.0
flat,hcbs sports ville,sohna road,28.0,3768.0,743.1,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),,743.0,643.0,2,2,1,11.0,East,Relatively New,0.0,0,0,0,0,0,7.0
flat,puri the aravallis,sector 61 ,387.0,17200.0,2250.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),2250.0,,1249.0,3,4,3+,21.0,East,Under Construction,0.0,1,0,0,0,0,15.0
flat,brisk lumbini terrace homes,sector 109 ,138.0,6338.0,2177.34,Carpet area: 2177 (202.25 sq.m.),,,2177.0,3,3,1,4.0,,Moderately Old,0.0,0,0,0,0,0,59.0
flat,huda ashok vihar phase,sector 4,43.0,6615.0,650.04,Carpet area: 650 (60.39 sq.m.),,,650.0,2,2,1,2.0,,Relatively New,0.0,0,0,0,0,0,48.0
flat,my home,new sector 2,28.5,3166.0,900.19,Carpet area: 900 (83.61 sq.m.),,,900.0,2,1,1,2.0,,Relatively New,0.0,0,0,0,0,1,144.0
flat,signature global city,sector 37d ,110.0,9838.0,1118.11,Carpet area: 1118 (103.87 sq.m.),,,1118.0,2,2,2,4.0,South,Undefined,0.0,0,0,0,0,0,58.0
flat,m3m heights,sector 65 ,200.0,13957.0,1432.97,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),,1433.0,1000.0,2,2,2,32.0,,Undefined,0.0,0,0,0,0,0,56.0
flat,signature global park,sohna road,90.0,8035.0,1120.1,Super Built up area 1120(104.05 sq.m.),1120.0,,,3,2,2,2.0,South,Under Construction,0.0,0,0,0,0,0,0.0
flat,signature global park,sohna road,90.0,8036.0,1119.96,Built Up area: 1120 (104.05 sq.m.),,1120.0,,3,2,0,2.0,,Under Construction,0.0,0,0,0,0,0,67.0
flat,godrej nature plus,sector 33,175.0,8768.0,1995.89,Built Up area: 1996 (185.43 sq.m.),,1996.0,,3,3,0,2.0,,Undefined,0.0,0,0,0,0,0,24.0
flat,supertech hues,sector 68 ,93.0,8611.0,1080.01,Carpet area: 1080 (100.34 sq.m.),,,1080.0,2,2,2,11.0,,Undefined,0.0,0,0,0,0,0,49.0
flat,dlf new town heights,sector 90 ,180.0,6600.0,2727.27,Super Built up area 2727(253.35 sq.m.),2727.0,,,4,4,3+,23.0,,Moderately Old,0.0,0,0,0,0,0,36.0
flat,central park flower valley aqua front towers,sector 33,210.0,11738.0,1789.06,Super Built up area 1789(166.2 sq.m.),1789.0,,,3,3,2,6.0,,Under Construction,0.0,0,0,0,0,0,65.0
