,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score,coordinates,latitude,longitude
90,flat,the close north,sector 50,265.0,10685.0,2470.0,3,4,3+,6.0,Moderately Old,2.0,1,0,0,0,0,96.0,"28.4178° N, 77.0628° E",28.4178,77.0628
91,flat,unitech fresco,sector 50,188.0,10479.0,1790.0,3,3,3+,14.0,Moderately Old,0.0,0,0,0,0,1,88.0,"28.4178° N, 77.0628° E",28.4178,77.0628
92,flat,unitech harmony,sector 50,260.0,9590.0,2700.0,3,4,2,15.0,Relatively New,0.0,1,0,0,0,1,99.0,"28.4178° N, 77.0628° E",28.4178,77.0628
93,flat,the close north,sector 50,297.0,11401.0,2600.0,3,3,3+,8.0,Moderately Old,2.0,1,0,0,0,0,49.0,"28.4178° N, 77.0628° E",28.4178,77.0628
94,flat,paras quartier,gwal pahari,750.0,14018.0,4842.0,4,4,3+,20.0,New Property,2.0,1,0,1,0,1,135.0,"28.4484° N, 77.0210° E",28.4484,77.021
95,flat,the close north,sector 50,235.0,11767.0,1950.0,3,3,3+,8.0,Moderately Old,0.0,0,0,0,0,0,102.0,"28.4178° N, 77.0628° E",28.4178,77.0628
96,flat,the close south,sector 50,310.0,12444.0,2450.0,3,4,3+,4.0,Moderately Old,0.0,1,0,0,0,0,127.0,"28.4178° N, 77.0628° E",28.4178,77.0628
97,flat,professional society,manesar,75.0,3067.0,2716.0,3,4,3,3.0,Relatively New,0.0,1,0,0,0,0,43.0,"28.3515° N, 76.9428° E",28.3515,76.9428
98,flat,hsiidc sidco shivalik apartments,manesar,73.0,3560.0,1705.0,3,3,3+,2.0,Moderately Old,0.0,1,0,0,0,0,108.0,"28.3515° N, 76.9428° E",28.3515,76.9428
99,flat,imt view society,manesar,95.0,3653.0,2232.0,3,4,3,6.0,Moderately Old,0.0,1,0,0,0,0,99.0,"28.3515° N, 76.9428° E",28.3515,76.9428
100,flat,hsiidc sidco shivalik apartments,manesar,48.0,3840.0,993.0,2,2,3,7.0,Moderately Old,0.0,0,0,0,0,0,151.0,"28.3515° N, 76.9428° E",28.3515,76.9428
101,flat,hsiidc sidco aravali,manesar,86.0,3323.0,1900.0,3,3,3+,3.0,Moderately Old,0.0,1,0,0,0,0,49.0,"28.3515° N, 76.9428° E",28.3515,76.9428
102,flat,hsiidc sidco aravali,manesar,81.0,3129.0,1900.0,3,3,3+,2.0,Moderately Old,0.0,1,0,0,0,0,79.0,"28.3515° N, 76.9428° E",28.3515,76.9428
103,flat,krrish provence estate,gwal pahari,550.0,9482.0,5249.0,4,5,3+,11.0,New Property,1.0,1,1,1,0,0,165.0,"28.4484° N, 77.0210° E",28.4484,77.021
104,flat,suncity platinum towers,sector 28,620.0,23091.0,2000.0,3,4,3+,21.0,Relatively New,0.0,1,0,0,0,0,80.0,"28.4728° N, 77.0865° E",28.4728,77.0865
105,flat,hsiidc sidco shivalik apartments,manesar,60.0,4000.0,1277.0,3,2,2,5.0,Moderately Old,2.0,0,0,0,0,0,76.0,"28.3515° N, 76.9428° E",28.3515,76.9428
106,flat,bestech park view residency,sector 2,98.0,6261.0,1416.0,2,2,3,14.0,Moderately Old,2.0,0,1,0,0,0,174.0,"28.5095° N, 77.0320° E",28.5095,77.032
107,flat,bestech park view residency,sector 2,155.0,8072.0,1738.0,3,4,3+,10.0,Moderately Old,0.0,1,0,0,0,0,174.0,"28.5095° N, 77.0320° E",28.5095,77.032
108,flat,bestech park view residency,sector 2,101.0,7137.0,1281.0,2,2,3,0.0,Moderately Old,2.0,0,0,0,0,0,174.0,"28.5095° N, 77.0320° E",28.5095,77.032
109,flat,bestech park view residency,sector 2,151.0,7890.0,1738.0,3,4,3+,8.0,Moderately Old,2.0,1,0,0,0,0,49.0,"28.5095° N, 77.0320° E",28.5095,77.032
110,flat,bestech park view residency,sector 2,140.0,7865.0,1611.0,3,3,3+,8.0,Moderately Old,0.0,0,0,0,0,0,42.0,"28.5095° N, 77.0320° E",28.5095,77.032
111,flat,bestech park view residency,sector 2,159.0,8281.0,1738.0,3,4,3+,11.0,Moderately Old,2.0,1,0,0,0,0,174.0,"28.5095° N, 77.0320° E",28.5095,77.032
112,flat,bestech park view residency,sector 2,56.2,8632.0,723.0,1,2,2,7.0,Moderately Old,2.0,0,0,0,0,0,109.0,"28.5095° N, 77.0320° E",28.5095,77.032
113,flat,dlf regency park,sector 28,235.0,13224.0,1700.0,3,4,3,8.0,Old Property,2.0,1,0,0,0,0,165.0,"28.4728° N, 77.0865° E",28.4728,77.0865
114,flat,suncity vatsal valley,gwal pahari,138.0,9650.0,1294.0,3,3,2,1.0,Relatively New,2.0,0,0,0,0,0,156.0,"28.4484° N, 77.0210° E",28.4484,77.021
115,flat,beverley park 1,sector 43,844.0,16230.0,5000.0,4,5,3,9.0,Moderately Old,2.0,1,0,0,0,0,150.0,"28.4629° N, 77.0772° E",28.4629,77.0772
116,flat,new sathi apartments,sector 54,159.0,7066.0,2250.0,3,3,3+,3.0,Moderately Old,2.0,0,1,0,0,0,157.0,"28.4348° N, 77.1089° E",28.4348,77.1089
117,flat,suncity platinum towers,sector 28,600.0,22346.0,2983.0,3,3,2,8.0,Moderately Old,2.0,1,0,0,0,0,49.0,"28.4728° N, 77.0865° E",28.4728,77.0865
118,flat,suncity platinum towers,sector 28,700.0,22222.0,2488.0,4,3,2,10.0,Moderately Old,0.0,1,0,0,0,0,106.0,"28.4728° N, 77.0865° E",28.4728,77.0865
119,flat,the close north,sector 50,292.0,11209.0,2600.0,3,3,3,10.0,Moderately Old,0.0,1,0,0,0,0,38.0,"28.4178° N, 77.0628° E",28.4178,77.0628
120,flat,unitech fresco,sector 50,182.0,9912.0,1830.0,3,3,3+,14.0,Moderately Old,2.0,0,0,0,0,1,38.0,"28.4178° N, 77.0628° E",28.4178,77.0628
121,flat,the close north,sector 50,265.0,11276.0,2491.0,3,3,3+,3.0,Moderately Old,2.0,1,0,0,0,0,101.0,"28.4178° N, 77.0628° E",28.4178,77.0628
122,flat,central park flower valley,sector 33,230.0,12777.0,2000.0,4,4,3+,5.0,New Property,0.0,1,0,1,0,0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
123,flat,central park flower valley,sector 33,155.0,11923.0,1444.0,3,3,3+,7.0,New Property,0.0,0,0,0,0,0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
