property_name,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,furnish_type,rating,servant_room,study room,pooja room,store_room,others,luxury_score
3 BHK Flat in Sector 79 Gurgaon,flat,bestech altura,sector 79 ,185.0,8604.0,2150.16,Super Built up area 2150(199.74 sq.m.),2150,,,3,4,3+,"Sector 79 Gurgaon, Gurgaon, Haryana",11.0,North,New Property,"This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",1,0,0,0,0,49.0
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,sector 89 ,86.0,7796.0,1103.13,Super Built up area 1103(102.47 sq.m.),1103,,,2,3,3,"Sector 89 Gurgaon, Gurgaon, Haryana",4.0,,Under Construction,"We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,45.0
3 BHK Flat in Sector 102 Gurgaon,flat,emaar imperial gardens,sector 102 ,185.0,9135.0,2025.18,Carpet area: 2025 (188.13 sq.m.),,,2025,3,3,3+,"Sector 102 Gurgaon, Gurgaon, Haryana",0.0,South-West,Relatively New,"Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area",2.0,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4.5 out of 5', 'Construction4 out of 5', 'Connectivity3.5 out of 5']",1,0,0,0,0,95.0
3 BHK Flat in Sector 113 Gurgaon,flat,la vida by tata housing,sector 113 ,285.0,12855.0,2217.04,Super Built up area 2217(205.97 sq.m.),2217,,,3,3,3+,"Sector 113 Gurgaon , Gurgaon, Haryana",10.0,East,New Property,"La vida by tata housing is one of the most popular destination for buying apartments/ flats in sector 113 gurgaon . You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2217 sq.Ft. This flat is situated on the 10th floor of this 25 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Proximity to landmarks like close to market, close to railway station and close to school makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, lift(s), park, visitor parking and maintenance staff. The society provides continuous water supply from municipal corporation and borewell/tank.",0.0,,1,0,0,0,0,72.0
2 BHK Flat in Sector 36 Gurgaon,flat,the serenas,sector 36 ,42.0,7910.0,530.97,Carpet area: 531 (49.33 sq.m.),,,531,2,2,1,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3.0,,Undefined,Best in class property available at sector 36 sohna location in gurgaon,0.0,,0,0,0,0,0,0.0
3 BHK Flat in Sector 65 Gurgaon,flat,m3m golfestate,sector 65 ,615.0,18331.0,3354.97,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),,3355,2200,3,4,2,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",20.0,North-East,Undefined,One of the best units in m3m golf estate with l shaped wraparound balcony. 3side open apartment with ample sunlight. Vaastu perfect with east entry. Y m3m golf estate sector 65,0.0,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,34.0
3 BHK Flat in Sector 48 Gurgaon,flat,central park resort belgravia residences,sector 48 ,625.0,24300.0,2572.02,Carpet area: 2880 (267.56 sq.m.),,,2880,3,5,3+,"Sector 48 Gurgaon, Gurgaon, Haryana",5.0,South-East,Moderately Old,"Situated in sector 48 gurgaon, central park resort belgravia residences is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2880 sq.Ft. Carpet area and comes with 3 bedroom(s), 5 bathrooms and more than 3 balconies. The flat has a total of 17 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.",2.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",1,0,0,0,0,49.0
2 BHK Flat in Sector 37C Gurgaon,flat,apex builders,sector 37c ,42.0,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),,,750,2,2,2,"Sector 37C Gurgaon, Gurgaon, Haryana",4.0,North,Relatively New,Have car parking available and connected to newly developed dwaka expressway,0.0,"['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,42.0
2 BHK Flat in Sector 3 Gurgaon,flat,godrej habitat,sector 3 ,135.0,12784.0,1056.01,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),,1056,912,2,2,0,"Godrej Habitat, Sector-3, Gurgaon, Sector 3 Gurgaon, Gurgaon, Haryana",4.0,North-East,Undefined,"Self owning property , shifting out of country , resale , no agency . Godrej habitat godrej habitat, sector-3, gurgaon",0.0,"['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5']",0,0,0,0,0,60.0
2 BHK Flat in New Palam Vihar,flat,ompee k s residency,new sector 2,160.0,26936.0,594.0,Carpet area: 66 (55.18 sq.m.),,,66,2,2,2,"New Palam Vihar, Gurgaon, Haryana",1.0,,Relatively New,"We are the proud owners of this 2 bhk apartment available in ompee k s residency, new palam vihar, gurgaon. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 66 sq.Yards. It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,0.0
