property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,ramsons kshitij,sector 95 ,29.0,5178.0,507.0,2,2,2,14.0,Relatively New,0.0,0,0,0,0,0,49.0
flat,sidhartha ncr one,sector 95 ,55.0,5556.0,990.0,2,2,3,15.0,New Property,0.0,0,0,0,0,0,37.0
flat,raheja sampada,sector 92 ,65.0,4744.0,1240.0,3,2,3,6.0,Relatively New,0.0,0,0,0,0,0,43.0
flat,signature the serenas,sohna road,50.0,9406.0,590.0,2,2,2,6.0,New Property,2.0,0,0,0,0,0,90.0
flat,pareena laxmi apartments,sector 99a ,31.75,5521.0,577.0,2,2,1,2.0,New Property,0.0,0,0,0,0,0,44.0
flat,satya the hermitage,sector 103 ,93.0,6404.0,1613.0,2,3,3,3.0,Relatively New,0.0,1,0,0,0,0,42.0
flat,smart world gems,sector 89 ,120.0,8432.0,1581.0,3,3,2,2.0,New Property,0.0,0,0,0,0,0,111.0
flat,gls arawali homes,sohna road,30.0,4687.0,711.0,2,2,2,4.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,signature global park,sohna road,56.0,6812.0,913.0,2,2,3,3.0,New Property,0.0,0,0,0,0,0,95.0
flat,bestech park view city,sector 49 ,270.0,12505.0,2159.14,3,4,3+,6.0,Moderately Old,1.0,0,0,0,0,0,75.0
flat,shree vardhman flora,sector 90 ,100.0,5128.0,1765.0,3,4,3,8.0,New Property,0.0,1,0,0,0,0,61.0
flat,afnhb jalvayu vihar,sector 30 ,145.0,11153.0,1300.0,3,2,2,2.0,Old Property,0.0,0,0,0,0,0,15.0
flat,m3m soulitude,sector 89 ,125.0,8784.0,1423.0,3,3,0,4.0,New Property,0.0,0,0,0,0,0,105.0
flat,emaar mgf palm terraces,sector 66 ,450.0,10599.0,3322.0,5,5,3+,11.0,New Property,0.0,1,0,0,0,0,58.0
flat,hcbs sports ville,sohna road,28.0,3768.0,743.0,2,2,1,11.0,Relatively New,0.0,0,0,0,0,0,7.0
flat,puri the aravallis,sector 61 ,387.0,17200.0,2250.0,3,4,3+,21.0,Under Construction,0.0,1,0,0,0,0,15.0
flat,brisk lumbini terrace homes,sector 109 ,138.0,6338.0,2419.0,3,3,1,4.0,Moderately Old,0.0,0,0,0,0,0,59.0
flat,huda ashok vihar phase,sector 4,43.0,6615.0,722.0,2,2,1,2.0,Relatively New,0.0,0,0,0,0,0,48.0
flat,my home,new sector 2,28.5,3166.0,1000.0,2,1,1,2.0,Relatively New,0.0,0,0,0,0,1,144.0
flat,signature global city,sector 37d ,110.0,9838.0,1242.0,2,2,2,4.0,Relatively New,0.0,0,0,0,0,0,58.0
flat,m3m heights,sector 65 ,200.0,13957.0,1433.0,2,2,2,32.0,Relatively New,0.0,0,0,0,0,0,56.0
flat,signature global park,sohna road,90.0,8035.0,1014.0,3,2,2,2.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,signature global park,sohna road,90.0,8036.0,1120.0,3,2,0,2.0,Under Construction,0.0,0,0,0,0,0,67.0
flat,godrej nature plus,sector 33,175.0,8768.0,1996.0,3,3,0,2.0,Under Construction,0.0,0,0,0,0,0,24.0
